gene	sb01_ph76_C	sb02_ph76_C	sb03_ph76_C	sb04_ph68_C	sb05_ph68_C	sb06_ph68_C	sb10_ph68_N	sb11_ph68_N	sb12_ph68_N
BBC01	0	0	0	0	0	0	0	0	0
BBC02	0	0	0	0	0	0	0	0	0
BBC03	0	0	0	0	0	0	0	0	0
BBC04	0	0	0	0	0	0	0	0	0
BBC05	0	0	0	0	0	0	0	0	0
BBC06	0	0	0	0	0	0	0	0	0
BBC07	0	0	0	0	0	0	0	0	0
BBC08	0	0	0	0	0	0	0	0	0
BBC10	0	0	0	0	0	0	0	0	0
BBC11	0	0	0	0	0	0	0	0	0
BBC12	0	0	0	0	0	0	0	0	0
BB_0001	36	33	22	13	42	34	25	44	47
BB_0002	136	145	131	101	260	169	217	322	199
BB_0004	459	287	391	118	295	289	206	331	354
BB_0005	780	591	724	237	471	450	338	470	406
BB_0006	1427	1393	1712	680	1330	1164	842	1280	914
BB_0007	959	603	775	420	708	777	402	483	653
BB_0008	113	84	85	27	88	100	75	82	119
BB_0009	92	64	56	14	49	53	35	52	87
BB_0010	244	210	271	214	437	367	283	308	378
BB_0011	543	372	515	170	423	544	264	265	355
BB_0012	187	112	125	64	106	142	90	114	166
BB_0013	81	30	39	15	46	35	31	54	39
BB_0014	330	243	247	78	154	164	117	209	201
BB_0015	1520	1239	1534	271	559	495	383	501	552
BB_0016	373	102	158	74	128	151	70	95	283
BB_0017	116	114	122	42	113	112	82	167	112
BB_0018	650	353	413	254	446	430	270	424	527
BB_0019	191	35	55	42	53	83	24	65	171
BB_0020	4870	3801	4655	2469	4398	5056	2925	3032	4149
BB_0022	1579	1238	1388	620	1401	1268	905	950	1196
BB_0023	795	547	717	252	511	537	340	368	597
BB_0024	596	611	617	474	1008	1197	674	660	1069
BB_0025	538	598	637	287	642	682	490	793	645
BB_0026	957	755	903	427	811	802	533	574	704
